English,Serbian
and,и
that,то
it,то
of,од
me,ми
what,Шта
is,је
in,у
this,ово
know,знати
I'm,ја сам
for,за
no,не
my,мој
don't,немој
just,само
not,не
do,урадите
be,бити
on,на
your,твој
was,био
we,ми
it's,његово
so,тако
but,али
all,све
well,па
are,су
he,он
oh,ох
about,О томе
you're,ви сте
get,добити
here,овде
out,напоље
going,одлазак
like,као
yeah,да
if,ако
her,њеној
she,она
can,моћи
up,горе
want,желети
think,мислити
that's,да их
now,Сада
go,Го
him,њега
at,у
got,Гот
there,тамо
one,један
did,јесте
why,зашто
see,видети
come,доћи
good,Добро
they,они
really,стварно
as,као
look,изглед
when,када
time,време
will,воља
okay,у реду
back,назад
can't,не могу
mean,значити
tell,рећи
from,од
hey,еј
were,су
he's,он је
could,могао
didn't,није
yes,да
his,његов
been,био
or,или
something,нешто
who,ко
because,јер
some,неки
had,imao
ok,ок
take,узети
an,
way,начин
us,нас
make,направити
need,потреба
gonna,ће
never,никад
we're,су
too,такође
love,љубав
she's,она је
I've,Ја сам
sure,сигуран
them,њих
more,више
over,преко
our,наш
sorry,извињавам се
where,где
what's,шта с
let,дозволити
thing,ствар
am,сам
maybe,можда
down,доле
man,човек
has,има
uh,uh
very,врло
by,од стране
there's,ту је
should,требало би
anything,било шта
said,рекао
much,много
any,било који
life,живот
even,Чак
off,ван
please,Молимо вас
doing,ради
thank,захвалити
give,дати
only,само
thought,мисао
help,помоћ
two,два
talk,разговор
people,људи
god,Бог
still,још увек
wait,чекати
into,у
find,пронаћи
nothing,ништа
again,опет
things,ствари
let's,омогућава
doesn't,не
call,позив
told,рекао
great,сјајно
before,пре него што
better,боље
ever,икад
night,ноћ
than,него
away,далеко
first,први
believe,веровати
other,други
feel,осетити
work,рад
you've,ти си
fine,фино
home,кућа
after,после
last,последњи
these,ове
day,дан
keep,задржати
does,не
put,ставити
around,око
stop,зауставити
they're,они су
I'd,ја бих
guy,момак
long,дуг
isn't,није
always,увек
listen,слушати
wanted,трази се
Mr.,Господин.
guys,момци
huh,ха
those,оне
big,велики
lot,много
happened,десило
thanks,Хвала
won't,неће
trying,тежак
kind,врста
wrong,погрешно
through,кроз
talking,талкинг
made,направљен
new,Нова
being,биће
guess,Ваљда
hi,Здраво
care,нега
bad,лоше
mom,мама
remember,запамтити
getting,добити
we'll,па
together,заједно
dad,тата
leave,одсуство
mother,мајка
understand,разумети
wouldn't,не би
actually,заправо
hear,чути
baby,беба
nice,леп
father,отац
else,друго
stay,боравак
done,Готово
wasn't,није
their,њихов
course,курс
might,моћ
mind,ум
every,сваки
enough,довољно
try,покушати
hell,пакао
came,Дошао
someone,неко
you'll,ти ћеш
own,властити
family,породица
whole,цео
another,други
house,кућа
yourself,сами
idea,идеја
ask,питати
best,најбоље
must,мора
coming,долазак
old,стар
looking,гледа
woman,жена
hello,Здраво
which,која
room,соба
money,новац
left,лево
knew,znao
tonight,вечерас
real,прави
hope,надати се
name,име
same,исти
went,је
um,хм
hmm,хм
happy,срећан
pretty,прилично
saw,Тестера
girl,девојка
sir,господине
show,Прикажи
friend,пријатељ
already,већ
saying,говорећи
may or May,може и
next,следећи
three,три
job,посао
problem,проблем
minute,минут
found,нашао
world,свет
thinking,размишљање
haven't,нису
heard,слушао
honey,мед
matter,материја
myself,сам
exactly,баш тако
having,има
ah,Ах
probably,вероватно
happen,десити се
we've,имамо
hurt,боли
boy,дечак
both,обоје
while,док
dead,мртав
gotta,mora
alone,сам
since,Од
excuse,изговор
start,почетак
kill,Килл
hard,тврд
you'd,ти би
today,данас
car,ауто
ready,спреман
until,све док
without,без
whatever,шта год
wants,жеље
hold,држати
wanna,желим
yet,још
seen,види
deal,договор
took,је
once,једном
gone,отишла
called,назива
morning,јутро
supposed,trebalo
friends,prijatelji
head,глава
stuff,ствари
most,највише
used,користи
worry,забринути
second,други
part,део
live,уживо
truth,истина
school,школа
face,лице
forget,заборавити
TRUE,ИСТИНА
business,посао
each,сваки
cause,узрок
soon,ускоро
knows,зна
few,мало
telling,причање
wife,жена
who's,који је
use,употреба
chance,шанса
run,трцати
move,потез
anyone,било ко
person,лице
bye,здраво
somebody,неко
such,тако
miss,Госпођица
married,ожењен
point,тачка
later,касније
making,прављење
meet,сусрет
anyway,У сваком случају
many,многи
phone,телефон
reason,разлог
damn,проклети
lost,изгубљен
looks,изглед
bring,довести
case,случај
turn,ред
wish,желети
tomorrow,сутра
kids,клинци
trust,поверење
check,проверавати
change,промена
end,крај
late,касно
anymore,više
five,пет
least,најмање
town,Град
aren't,нису
ha,ха
working,рад
year,година
makes,марке
taking,uzimanje
means,средства
brother,брат
play,игра
hate,мржње
ago,пре
beautiful,Лепа
gave,dao
fact,чињеница
crazy,луд
party,журка
sit,СИТ
open,отворен
afraid,уплашен
between,између
important,важно
rest,рест
fun,забавно
kid,дете
word,реч
watch,гледати
glad,drago
everyone,свако
days,дани
sister,сестра
minutes,минута
everybody,сви
bit,мало
couple,пар
whoa,стој
Mrs.,Госпођа.
feeling,Осећај
daughter,ћерка
wow,вау
asked,питао
under,испод
break,пауза
promise,обећање
door,врата
set,комплет
close,Близу
hand,рука
easy,лако
question,питање
doctor,доктор
tried,Покушао
far,далеко
walk,ходати
trouble,проблем
mine,мина
though,иако
times,пута
different,различит
killed,убијен
hospital,болница
anybody,било ко
alright,у реду
wedding,венчање
shut,затворена
able,способан
die,умрети
perfect,савршен
police,полиција
stand,стајати
comes,долази
hit,погодак
story,прича
ya,ya
mm,"мм,"
waiting,чекања
dinner,вечера
against,против
husband,супруг
almost,скоро
stupid,глуп
pay,плата
answer,одговор
four,четири
office,канцеларија
cool,хладан
eyes,очи
news,новости
child,дете
shouldn't,не треба
half,пола
side,страна
yours,твој
moment,тренутак
sleep,сан
read,читати
where's,где је
started,почела
young,млади
men,мушкарци
sounds,звуци
sonny or Sonny,синко или Сони
lucky,срећан
pick,одабрати
sometimes,понекад
em,их
bed,кревет
also,такође
date,датум
line,линија
plan,план
hours,сати
lose,изгубити
fire,пожар
free,бесплатно
hands,руке
serious,озбиљан
Leo,Лав
shit,говно
behind,иза
inside,у
high,висок
ahead,напред
week,Недеља
wonderful,предивна
fight,борити се
past,прошлост
cut,рез
quite,прилично
he'll,он ће
sick,болестан
it'll,to ће
game,игра
eat,јести
nobody,нико
goes,иде
death,смрт
along,дуж
save,сачувати
seems,čini
finally,коначно
lives,животи
worried,забринути
upset,узнемирен
Theresa,Постоји
Carly,царли
Ethan,Итан
met,Мет
book,књига
brought,doneo
seem,изгледати
sort,врста
safe,безбедан
living,живот
children,деца
weren't,нису
leaving,остављање
front,предњи
shot,пуцањ
loved,вољен
asking,пита
running,руннинг
clear,јасно
figure,фигура
hot,врућ
felt,осетио
six,шест
parents,родитељи
drink,пиће
absolutely,апсолутно
how's,како је
daddy,тата
sweet,сладак
alive,жив
Paul,Павле
sense,смисао
meant,mislio
happens,деси
David,Давид
special,посебан
bet,опклада
blood,крв
ain't,није
kidding,Озбиљно
lie,лаж
full,пун
meeting,састанак
dear,драг
coffee,кафа
seeing,види
sound,звук
fault,грешка
water,вода
fuck,јебати
ten,десет
women,Жене
welcome,Добродошли
buy,купити
hour,сат
speak,говорити
lady,дама
thinks,мисли
Christmas,Божић
body,тело
order,ред
outside,напољу
hang,обесити
worse,горе
company,компанија
mistake,грешка
handle,ручка
spend,провести
totally,тотално
giving,давање
control,контрола
here's,ево
marriage,брак
realize,схватити
power,снага
president,председник
unless,ако не
sex,секс
girls,девојке
send,пошаљи
needed,потребан
taken,предузети
died,умро
scared,сцаред
picture,слика
talked,razgovarali
ass,дупе
hundred,сто
completely,у потпуности
explain,објаснити
playing,играње
certainly,сигурно
sign,знак
boys,децаци
relationship,однос
Michael,Мајкл
loves,љубави
fucking,јебени
hair,коса
lying,лежећи
choice,избор
anywhere,било куда
secret,тајна
future,будућност
weird,чудан
luck,срећа
turned,окренут
known,poznato
touch,додир
questions,pitanja
obviously,очито
wonder,питати се
calling,зове
somewhere,негде
throw,бацити
straight,право
cold,хладан
white,бело
fast,брзо
words,речи
food,храна
none,ниједан
drive,погон
feelings,осећања
they'll,oni ће
worked,радио
marry,венчати
light,светло
test,тест
drop,кап
cannot,не може
Frank,искрен
sent,је послато
city,град
dream,сан
protect,заштитити
twenty,двадесет
Lucy,Луси
surprise,изненађење
its,његово
sweetheart,Душица
forever,заувек
poor,сиромашан
looked,pogledao
mad,луд
except,осим
gun,пиштољ
y'know,знас
dance,данце
takes,узима
appreciate,ценити
especially,посебно
situation,ситуација
weeks,недеља
pull,повући
himself,себе
hasn't,нема
act,деловати
worth,вредност
Sheridan,схеридан
amazing,Невероватно
top,врх
given,дато
expect,очекивати
Ben,бен
rather,радије
Julian,Џулијан
involved,укључени
swear,Закуни се
piece,комад
busy,Заузет
law,закон
decided,одлучио
black or Black,црна или Црна
Joey,јоеи
happening,догађај
movie,филм
we'd,имали смо
catch,улов
Antonio,антонио
country,земља
less,мање
perhaps,можда
step,Корак
fall,пасти
watching,гледање
kept,држати
darling,миљеник
dog,пас
Ms.,Госпођа.
win,победити
air,ваздух
honor,част
personal,лични
moving,мовинг
till,до
admit,пустити
problems,problemi
murder,убиство
strong,јак
he'd,on би
evil,зло
definitely,дефинитивно
feels,Феелс
information,информације
honest,поштен
eye,око
broke,сломио
missed,Пропустио
longer,више
dollars,долара
tired,уморан
evening,вече
human,људски
starting,почевши
red,црвен
entire,цео
trip,путовање
club,клуб
suppose,претпоставити
calm,миран
imagine,замислити
Todd,тодд
fair,фер
caught,ухваћен
blame,кривица
street,улица
sitting,седење
favor,фавоур
apartment,стан
court,суд
terrible,страшан
clean,чист
Tony or tony,Тони или Тони
learn,научити
Alison,алисон
Rick,пласт
works,Извођење радова
Rose or rose,Росе или ружа
Frasier,фрасиер
relax,опусти се
York,Јорк
million,милион
charity,милосрђе
accident,незгода
Danny,данни
smart,оштроуман
missing,нестао
forgot,Заборавио
small,мали
interested,заинтересован
table,сто
nbsp,нбсп
become,постати
Craig,Крејг
mouth,уста
pregnant,трудна
middle,средњи
Billy or billy,Билли или Билли
ring,ринг
careful,пажљив
shall,ћу
dude,кицош
team,тим
ride,вожња
figured,mislio
wear,носити
shoot,Пуцај
stick,штап
follow,пратити
angry,љут
instead,уместо тога
buddy,пријатељ
write,Пишите
early,рано
ran,отрча
war,рат
standing,стајање
forgive,опростити
jail,затвор
wearing,ношење
ladies,даме
kinda,некако
lunch,ручак
eight,осам
gotten,стечен
hoping,надати се
thousand,хиљаду
ridge,гребен
music,музика
Luke,луке
paper,папир
tough,жилав
tape,трака
state,држава
count,рачунати
college,колеџ
boyfriend,дечко
proud,поносан
agree,договорити се
birthday,рођендан
bill,рачун
seven,седам
they've,oni су
history,историја
share,Објави
offer,понуда
hurry,пожурити
feet,стопала
simple,једноставан
decision,одлука
building,зграда
ones,оне
finish,завршити
voice,глас
herself,она сама
would've,би
list,листа
mess,неред
deserve,заслужити
evidence,доказ
cute,сладак
dress,хаљина
interesting,занимљив
Jesus,Исус
hotel,Хотел
enjoy,уживати
quiet,миран
concerned,у питању
road,пут
staying,ostajem
short,кратак
beat,победити
sweetie,драги
mention,помињање
clothes,Одећа
finished,готов
fell,пао
neither,ни
mmm,Ммм
fix,фиксни
respect,поштовати
spent,потрошен
prison,затвор
attention,Пажња
holding,Холдинг
calls,позиви
near,близу
surprised,изненадио
bar,Бар
Beth,Бет
pass,проћи
keeping,чување
gift,поклон
hadn't,није имала
putting,стављање
dark,мрак
self,сам
owe,дуговати
using,Користећи
ice,лед
helping,помажући
bitch,кучка
normal,нормалан
aunt,тетка
lawyer,адвокат
apart,одвојено
certain,известан
plans,планови
girlfriend,девојка
floor,под
everything's,свака ствари
earth,земља
private,приватни
box,кутија
cover,поклопац
judge,судија
upstairs,горе
Alexis,Алексис
Shawn,схавн
sake,саке
mommy,мамица
possibly,могуће
worst,најгори
